NO,개설대학,개설학과,개설전공,"교양영역구분",학정번호,과목명,외국인전용,원격100%,원격50%,사전녹화100%,재직자전형,집중이수제,외국어강의,외국어강의비율(%),신입생 및 1학년 분반,이수구분,인증/연계,주야,학점,시수,담당교수,요일1-일,요일1-시간,요일1-강의실,요일2-일,요일2-시간,요일2-강의실,요일3-일,요일3-시간,요일3-강의실,"비고(1학년은 신입생 및 1학년 분반 정보 참고하여 수강)"
426 ,공통,공통,공통,예술과체육,0000-2-5061-01,클래식음악의역사,,Y,,Y,,,,,,교선,,주,3 ,3 ,조선낭,토,61 ,,,,,,,,
427 ,공통,공통,공통,예술과체육,0000-2-5061-02,클래식음악의역사,Y,Y,,Y,,,,,,교선,,주,3 ,3 ,조선낭,토,81 ,,,,,,,,
428 ,공통,공통,공통,대학실용영어,0000-2-5074-01,대학영문법2,,,,,,,,,,교선,,주,3 ,3 ,목승혜,화,4 ,비405,목,3 ,비405,,,,
429 ,공통,공통,공통,인간과철학,0000-2-5368-01,미국의과거와현재,,,,,,,,,,교선,,주,3 ,3 ,연동원,금,"3,4",비429,,,,,,,
430 ,공통,공통,공통,인간과철학,0000-2-5663-01,인물로본한국사,,,,,,,,0 ,,교선,,주,3 ,3 ,윤성재,금,"1,2",비519,,,,,,,
431 ,공통,공통,공통,인간과철학,0000-2-5663-02,인물로본한국사,Y,,,,,,,,,교선,,야,3 ,3 ,최봉준,수,"7,8,9",비519,,,,,,,
432 ,공통,공통,공통,예술과체육,0000-2-5680-01,판타지장르와미래학,,,,,,,,,,교선,,주,3 ,3 ,김건우,금,"5,6",한울504,,,,,,,
433 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-5689-01,실용일본어문법,,,Y,,,,,0 ,,교선,,주,3 ,3 ,이승영,수,2 ,한울403,,,,,,,
434 ,공통,공통,공통,과학과기술,0000-2-5816-01,4차산업혁명과스마트기술,,,,,Y,,,0 ,,교선,,주,3 ,3 ,심선애,토,"5,6",옥206,,,,,,,
435 ,공통,공통,공통,대학실용영어,0000-2-5827-01,TOEIC말하기연습,,,,,,,,,,교선,,주,3 ,3 ,유수진,월,3 ,한울404,수,4 ,한울404,,,,
436 ,공통,공통,공통,대학실용영어,0000-2-5828-01,AI를활용한영어글쓰기,,,,,,,,0 ,,교선,,주,3 ,3 ,오경애,월,5 ,한울403,수,6 ,한울403,,,,
